hasSibling;Anna;Hanna;Johanna;Katrin;Mandy;Maria;Miriam;Susi;Alex;Alfred;Hans;Heinrich;Heinz;Jan;Markus
Anna; ; ; ; ; ; ; ;X; ; ; ; ; ; ; 
Hanna; ; ; ; ; ; ; ; ;X; ; ; ; ; ; 
Johanna; ; ; ; ;X; ; ; ; ; ; ; ; ; ; 
Katrin; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mandy; ; ;X; ; ; ; ; ; ; ; ; ; ; ; 
Maria; ; ; ; ; ; ; ; ; ;X; ; ;X; ; 
Miriam; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Susi;X; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alex; ;X; ; ; ; ; ; ; ; ; ; ; ; ; 
Alfred; ; ; ; ; ;X; ; ; ; ; ; ;X; ; 
Hans; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Heinrich; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Heinz; ; ; ; ; ;X; ; ; ;X; ; ; ; ; 
Jan; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Markus; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
