marriedTo;Anna;Hanna;Johanna;Katrin;Mandy;Maria;Miriam;Susi;Alex;Alfred;Hans;Heinrich;Heinz;Jan;Markus
Anna; ; ; ; ; ; ; ; ; ; ; ; ; ;X; 
Hanna; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Johanna; ; ; ; ; ; ; ; ; ; ;X; ; ; ; 
Katrin; ; ; ; ; ; ; ; ; ;X; ; ; ; ; 
Mandy; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Maria; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Miriam; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Susi; ; ; ; ; ; ; ; ; ; ; ;X; ; ; 
Alex; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Alfred; ; ; ;X; ; ; ; ; ; ; ; ; ; ; 
Hans; ; ;X; ; ; ; ; ; ; ; ; ; ; ; 
Heinrich; ; ; ; ; ; ; ;X; ; ; ; ; ; ; 
Heinz; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jan;X; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Markus; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
